pair_idx,class_a,class_b,t,store,cos_top1,mah_top1,overlap_10,overlap_25,flip_top1,rank_corr,sim_delta_mean,sim_delta_max
43,70,82,0.1599999964237213,S1,70,70,10,25,0,1.0,1.5944242477416992e-06,3.5762786865234375e-06
43,70,82,0.1599999964237213,S3,70,70,10,25,0,1.0,1.5944242477416992e-06,3.5762786865234375e-06
43,70,82,0.17000000178813934,S1,70,70,10,25,0,1.0,1.5920400073810015e-06,3.635883331298828e-06
43,70,82,0.17000000178813934,S3,70,70,10,25,0,1.0,1.5920400073810015e-06,3.635883331298828e-06
43,70,82,0.17999999225139618,S1,70,70,10,25,0,1.0,1.5896558807071415e-06,3.635883331298828e-06
43,70,82,0.17999999225139618,S3,70,70,10,25,0,1.0,1.5896558807071415e-06,3.635883331298828e-06
43,70,82,0.1899999976158142,S1,70,70,10,25,0,1.0,1.696348135737935e-06,3.7550926208496094e-06
43,70,82,0.1899999976158142,S3,70,70,10,25,0,1.0,1.696348135737935e-06,3.7550926208496094e-06
43,70,82,0.19999998807907104,S1,70,70,10,25,0,1.0,1.6433000382676255e-06,3.635883331298828e-06
43,70,82,0.19999998807907104,S3,70,70,10,25,0,1.0,1.6433000382676255e-06,3.635883331298828e-06
43,70,82,0.20999999344348907,S1,70,70,10,25,0,1.0,1.7744301885613822e-06,3.6954879760742188e-06
43,70,82,0.20999999344348907,S3,70,70,10,25,0,1.0,1.7744301885613822e-06,3.6954879760742188e-06
43,70,82,0.2199999988079071,S1,70,70,10,25,0,1.0,1.7637014479987556e-06,3.6954879760742188e-06
43,70,82,0.2199999988079071,S3,70,70,10,25,0,1.0,1.7637014479987556e-06,3.6954879760742188e-06
43,70,82,0.22999998927116394,S1,70,70,10,25,0,1.0,1.8131732986148563e-06,3.874301910400391e-06
43,70,82,0.22999998927116394,S3,70,70,10,25,0,1.0,1.8131732986148563e-06,3.874301910400391e-06
43,70,82,0.23999999463558197,S1,70,70,10,25,0,1.0,1.8632412093211315e-06,3.814697265625e-06
43,70,82,0.23999999463558197,S3,70,70,10,25,0,1.0,1.8632412093211315e-06,3.814697265625e-06
43,70,82,0.25,S1,70,70,10,25,0,1.0,1.8846988041332224e-06,3.933906555175781e-06
43,70,82,0.25,S3,70,70,10,25,0,1.0,1.8846988041332224e-06,3.933906555175781e-06
43,70,82,0.25999999046325684,S1,70,70,10,25,0,1.0,1.8763541902444558e-06,3.933906555175781e-06
43,70,82,0.25999999046325684,S3,70,70,10,25,0,1.0,1.8763541902444558e-06,3.933906555175781e-06
43,70,82,0.26999998092651367,S1,70,70,10,25,0,1.0,1.9615888504631585e-06,3.933906555175781e-06
43,70,82,0.26999998092651367,S3,70,70,10,25,0,1.0,1.9615888504631585e-06,3.933906555175781e-06
43,70,82,0.2800000011920929,S1,70,70,10,25,0,1.0,2.098679487971822e-06,4.0531158447265625e-06
43,70,82,0.2800000011920929,S3,70,70,10,25,0,1.0,2.098679487971822e-06,4.0531158447265625e-06
43,70,82,0.28999999165534973,S1,70,70,10,25,0,1.0,2.1022558485128684e-06,3.993511199951172e-06
43,70,82,0.28999999165534973,S3,70,70,10,25,0,1.0,2.1022558485128684e-06,3.993511199951172e-06
43,70,82,0.29999998211860657,S1,70,70,10,25,0,1.0,2.142190851373016e-06,4.172325134277344e-06
43,70,82,0.29999998211860657,S3,70,70,10,25,0,1.0,2.142190851373016e-06,4.172325134277344e-06
43,70,82,0.3100000023841858,S1,70,70,10,25,0,1.0,2.3043155579216545e-06,4.351139068603516e-06
43,70,82,0.3100000023841858,S3,70,70,10,25,0,1.0,2.3043155579216545e-06,4.351139068603516e-06
43,70,82,0.3199999928474426,S1,70,70,10,25,0,1.0,2.213120524174883e-06,4.291534423828125e-06
43,70,82,0.3199999928474426,S3,70,70,10,25,0,1.0,2.213120524174883e-06,4.291534423828125e-06
43,70,82,0.32999998331069946,S1,70,70,10,25,0,1.0,2.3168324787548045e-06,4.231929779052734e-06
43,70,82,0.32999998331069946,S3,70,70,10,25,0,1.0,2.3168324787548045e-06,4.231929779052734e-06
43,70,82,0.3400000035762787,S1,70,70,10,25,0,1.0,2.3555755888082786e-06,3.635883331298828e-06
43,70,82,0.3400000035762787,S3,70,70,10,25,0,1.0,2.3555755888082786e-06,3.635883331298828e-06
