arm,epoch,slot,decode,hit_counts,last_write_seq,usage,n_records,is_contra_fork,is_stale_superseded,is_current_fork,is_merge_candidate,role
stale-oneshot,2,45,1,3,301,3.0,3,0,0,0,0,clean
stale-oneshot,2,46,1,3,302,3.0,3,0,0,0,0,clean
stale-oneshot,2,47,1,3,303,3.0,3,0,0,0,0,clean
stale-oneshot,2,48,1,3,304,3.0,3,0,0,0,0,clean
stale-oneshot,2,49,1,3,305,3.0,3,0,0,0,0,clean
stale-oneshot,2,50,1,3,306,3.0,3,0,0,0,0,clean
stale-oneshot,2,51,1,3,307,3.0,3,0,0,0,0,clean
stale-oneshot,2,52,1,3,308,3.0,3,0,0,0,0,clean
stale-oneshot,2,53,1,3,309,3.0,3,0,0,0,0,clean
stale-oneshot,2,54,1,3,310,3.0,3,0,0,0,0,clean
stale-oneshot,2,55,1,3,311,3.0,3,0,0,0,0,clean
stale-oneshot,2,56,1,3,312,3.0,3,0,0,0,0,clean
stale-oneshot,2,57,1,3,313,3.0,3,0,0,0,0,clean
stale-oneshot,2,58,1,3,314,3.0,3,0,0,0,0,clean
stale-oneshot,2,59,1,3,315,3.0,3,0,0,0,0,clean
stale-oneshot,2,60,1,3,316,3.0,3,0,0,0,0,clean
stale-oneshot,2,61,1,3,317,3.0,3,0,0,0,0,clean
stale-oneshot,2,62,1,3,318,3.0,3,0,0,0,0,clean
stale-oneshot,2,63,1,3,319,3.0,3,0,0,0,0,clean
stale-oneshot,2,64,2,3,320,3.0,3,0,0,0,0,clean
stale-oneshot,2,65,2,3,321,3.0,3,0,0,0,0,clean
stale-oneshot,2,66,2,3,322,3.0,3,0,0,0,0,clean
stale-oneshot,2,67,2,3,323,3.0,3,0,0,0,0,clean
stale-oneshot,2,68,2,3,324,3.0,3,0,0,0,0,clean
stale-oneshot,2,69,2,3,325,3.0,3,0,0,0,0,clean
stale-oneshot,2,70,2,3,326,3.0,3,0,0,0,0,clean
stale-oneshot,2,71,2,3,327,3.0,3,0,0,0,0,clean
stale-oneshot,2,72,2,3,328,3.0,3,0,0,0,0,clean
stale-oneshot,2,73,2,3,329,3.0,3,0,0,0,0,clean
stale-oneshot,2,74,2,3,330,3.0,3,0,0,0,0,clean
stale-oneshot,2,75,2,3,331,3.0,3,0,0,0,0,clean
stale-oneshot,2,76,2,3,332,3.0,3,0,0,0,0,clean
stale-oneshot,2,77,2,3,333,3.0,3,0,0,0,0,clean
stale-oneshot,2,78,2,3,334,3.0,3,0,0,0,0,clean
stale-oneshot,2,79,2,3,335,3.0,3,0,0,0,0,clean
stale-oneshot,2,80,2,3,336,3.0,3,0,0,0,0,clean
stale-oneshot,2,81,2,3,337,3.0,3,0,0,0,0,clean
stale-oneshot,2,82,2,3,338,3.0,3,0,0,0,0,clean
stale-oneshot,2,83,2,3,339,3.0,3,0,0,0,0,clean
stale-oneshot,2,84,2,3,340,3.0,3,0,0,0,0,clean
stale-oneshot,2,85,2,3,341,3.0,3,0,0,0,0,clean
stale-oneshot,2,86,2,3,342,3.0,3,0,0,0,0,clean
stale-oneshot,2,87,2,3,343,3.0,3,0,0,0,0,clean
stale-oneshot,2,88,2,3,344,3.0,3,0,0,0,0,clean
stale-oneshot,2,89,2,3,345,3.0,3,0,0,0,0,clean
stale-oneshot,2,90,2,3,346,3.0,3,0,0,0,0,clean
stale-oneshot,2,91,2,3,347,3.0,3,0,0,0,0,clean
stale-oneshot,2,92,2,3,348,3.0,3,0,0,0,0,clean
stale-oneshot,2,93,2,3,349,3.0,3,0,0,0,0,clean
stale-oneshot,2,94,2,3,350,3.0,3,0,0,0,0,clean
stale-oneshot,2,95,2,3,351,3.0,3,0,0,0,0,clean
stale-oneshot,2,96,3,3,352,3.0,3,0,0,0,0,clean
stale-oneshot,2,97,3,3,353,3.0,3,0,0,0,0,clean
stale-oneshot,2,98,3,3,354,3.0,3,0,0,0,0,clean
stale-oneshot,2,99,3,3,355,3.0,3,0,0,0,0,clean
stale-oneshot,2,100,3,3,356,3.0,3,0,0,0,0,clean
stale-oneshot,2,101,3,3,357,3.0,3,0,0,0,0,clean
stale-oneshot,2,102,3,3,358,3.0,3,0,0,0,0,clean
stale-oneshot,2,103,3,3,359,3.0,3,0,0,0,0,clean
stale-oneshot,2,104,3,3,360,3.0,3,0,0,0,0,clean
stale-oneshot,2,105,3,3,361,3.0,3,0,0,0,0,clean
stale-oneshot,2,106,3,3,362,3.0,3,0,0,0,0,clean
